Page Name,PageLabelId,Page Label Name,ValueRT,Storefront
OrderView,OrderConfirmation_StatusInfoGlobalOrderView,OrderConfirmation_StatusInfo,You can view your order status at any time by checking your,Global
All,DR_Get_Customer_Type_ErrorGlobalAll,DR_Get_Customer_Type_Error,Error while getting customer Type,Global
All,DR_No_Tax_Record_found_Account_TabGlobalAll,DR_No_Tax_Record_found_Account_Tab,No Tax Certificate on file.,Global
All,DR_SAVE_PAYMENT_WARNING_MSGGlobalAll,DR_SAVE_PAYMENT_WARNING_MSG,This payment method is not supported for future use.,Global
All,DR_SAVE_PAYMENT_SUB_PRODUCT_WARNING_MSGGlobalAll,DR_SAVE_PAYMENT_SUB_PRODUCT_WARNING_MSG,This payment method is not supported for subscription items.,Global
All,DR_CustomerType_Update_ErrorGlobalAll,DR_CustomerType_Update_Error,Error while updating CC cart,Global
All,DR_Upload_Tax_CertificatesGlobalAll,DR_Upload_Tax_Certificates,Click here to Manage your Tax Certificates,Global
All,DR_Tax_Exampt_purchaseGlobalAll,DR_Tax_Exampt_purchase,Are you making a tax exempt purchase?,Global
All,MyWallet_DR_Source_Not_SavedGlobalAll,MyWallet_DR_Source_Not_Saved,Could not save payment. Please try again.,Global
All,DR_SAVE_PAYMENT_CHECKBOX_WARNING_MSGGlobalAll,DR_SAVE_PAYMENT_CHECKBOX_WARNING_MSG,You have subscription product(s) in cart. Please save Card for Subscription renewals.,Global
All,DR_IOR_TAXGlobalAll,DR_IOR_TAX,IOR Tax,Global
All,DR_DUTYGlobalAll,DR_DUTY,Duty,Global
All,DR_REGULATORY_FEESGlobalAll,DR_REGULATORY_FEES,Regulatory Fees,Global
All,DR_VATInvoiceGlobalAll,DR_VATInvoice,View VAT Invoice,Global
All,DR_VATInvoice_ErrorMsgGlobalAll,DR_VATInvoice_ErrorMsg,VAT Invoice URL not generated.,Global
All,DR_Internal_ErrorGlobalAll,DR_Internal_Error,DR Internal Error,Global
All,DR_Billing_Address_Updation_FailedGlobalAll,DR_Billing_Address_Updation_Failed,DR Billing Address Updation Failed,Global
All,DR_Tax_Identifier_Save_SuccessGlobalAll,DR_Tax_Identifier_Save_Success,Tax identifier successfully added,Global
All,DR_Tax_Identifier_Save_ErrorGlobalAll,DR_Tax_Identifier_Save_Error,The tax identifier was unable to be added to your profile,Global
All,DR_Tax_Identifier_Delete_ConfirmGlobalAll,DR_Tax_Identifier_Delete_Confirm,Please confirm that you would like to delete this saved tax identifier.,Global
All,DR_Tax_Identifier_Delete_SuccessGlobalAll,DR_Tax_Identifier_Delete_Success,Tax identifier successfully deleted.,Global
All,DR_Tax_Identifier_Delete_Success,DR_Tax_Identifier_Delete_Error,The tax identifier was unable to be deleted from your profile. Please try again.,Global
All,DR_Tax_Identifier_Not_ApplicableGlobalAll,DR_Tax_Identifier_Not_Applicable,Tax identifiers are not applicable for the selected country.,Global
All,DR_No_Active_TaxIdentifiersGlobalAll,DR_No_Active_TaxIdentifiers,No previously saved tax identifiers.,Global
All,DR_My_Tax_IdentifierGlobalAll,DR_My_Tax_Identifier,My Tax Identifiers,Global
All,DR_Tax_Identifier_Save_AlreadyExists_ErrorGlobalAll,DR_Tax_Identifier_Save_AlreadyExists_Error,A Tax ID of this type already exists. Please delete the existing ID and try again,Global
